model,split,arm,successes,n,estimate,nominal_ci_lo,nominal_ci_hi,icc,design_effect,effective_n,adj_ci_lo,adj_ci_hi
gemma3_12b,development,rag,5,100,0.05,0.0215,0.1118,1.0,5.0,20.0,0.0089,0.2361
gemma3_12b,development,agent_raw,30,100,0.3,0.2189,0.3959,1.0,5.0,20.0,0.1455,0.519
gemma3_12b,development,agent_opa,25,100,0.25,0.1755,0.343,1.0,5.0,20.0,0.1119,0.4687
gemma3_12b,held_out,direct,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
gemma3_12b,held_out,rag,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
gemma3_12b,held_out,agent_raw,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
gemma3_12b,held_out,agent_opa,9,100,0.09,0.0481,0.1623,0.8834,4.5337,22.057,0.0249,0.2767
gemma3_27b,development,direct,15,100,0.15,0.0931,0.2328,1.0,5.0,20.0,0.0524,0.3604
gemma3_27b,development,rag,15,100,0.15,0.0931,0.2328,1.0,5.0,20.0,0.0524,0.3604
gemma3_27b,development,agent_raw,30,100,0.3,0.2189,0.3959,1.0,5.0,20.0,0.1455,0.519
gemma3_27b,development,agent_opa,20,100,0.2,0.1334,0.2888,1.0,5.0,20.0,0.0807,0.416
gemma3_27b,held_out,direct,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
gemma3_27b,held_out,rag,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
gemma3_27b,held_out,agent_raw,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
gemma3_27b,held_out,agent_opa,5,100,0.05,0.0215,0.1118,1.0,5.0,20.0,0.0089,0.2361
qwen3.5_27b,development,direct,15,100,0.15,0.0931,0.2328,1.0,5.0,20.0,0.0524,0.3604
qwen3.5_27b,development,rag,15,100,0.15,0.0931,0.2328,1.0,5.0,20.0,0.0524,0.3604
qwen3.5_27b,development,agent_raw,25,100,0.25,0.1755,0.343,1.0,5.0,20.0,0.1119,0.4687
qwen3.5_27b,development,agent_opa,30,100,0.3,0.2189,0.3959,1.0,5.0,20.0,0.1455,0.519
qwen3.5_27b,held_out,direct,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
qwen3.5_27b,held_out,rag,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
qwen3.5_27b,held_out,agent_raw,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
qwen3.5_27b,held_out,agent_opa,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
qwen2.5_7b,development,direct,15,100,0.15,0.0931,0.2328,1.0,5.0,20.0,0.0524,0.3604
qwen2.5_7b,development,rag,5,100,0.05,0.0215,0.1118,1.0,5.0,20.0,0.0089,0.2361
qwen2.5_7b,development,agent_raw,25,100,0.25,0.1755,0.343,1.0,5.0,20.0,0.1119,0.4687
qwen2.5_7b,development,agent_opa,25,100,0.25,0.1755,0.343,1.0,5.0,20.0,0.1119,0.4687
qwen2.5_7b,held_out,direct,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
qwen2.5_7b,held_out,rag,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
qwen2.5_7b,held_out,agent_raw,0,100,0.0,0.0,0.037,0.0,1.0,100.0,0.0,0.037
qwen2.5_7b,held_out,agent_opa,10,100,0.1,0.0552,0.1744,1.0,5.0,20.0,0.0279,0.301
